2019-04-02 21:01:09  [ INFO ]  [ method:com.qj.api.auto.cases.LoginSingle.login(LoginSingle.java:28) ]  登录使用的参数为【{"mobilephone":"18825287006","pwd":"123456"}】
2019-04-02 21:01:10  [ INFO ]  [ method:com.qj.api.auto.util.HttpUnit.doPost(HttpUnit.java:45) ]  接口请求地址http://test.lemonban.com/futureloan/mvc/api/member/login
2019-04-02 21:01:13  [ INFO ]  [ method:com.qj.api.auto.util.HttpUnit.doPost(HttpUnit.java:86) ]  接口响应报文code=[200],result=[{"status":1,"code":"10001","data":null,"msg":"登录成功"}]
2019-04-02 21:01:13  [ INFO ]  [ method:com.qj.api.auto.cases.LoginSingle.login(LoginSingle.java:41) ]  登录接口执行成功
2019-04-02 21:01:16  [ INFO ]  [ method:com.qj.api.auto.cases.BaseProcessor.caseBase(BaseProcessor.java:28) ]  调用接口前的数据验证
2019-04-02 21:01:17  [ INFO ]  [ method:com.qj.api.auto.cases.BaseProcessor.caseBase(BaseProcessor.java:47) ]  根据接口编号【1】【注册接口】获取到请求的url【http://test.lemonban.com/futureloan/mvc/api/member/register】
2019-04-02 21:01:17  [ INFO ]  [ method:com.qj.api.auto.cases.BaseProcessor.caseBase(BaseProcessor.java:51) ]  根据接口编号【1】获取到请求的接口类型post
2019-04-02 21:01:18  [ INFO ]  [ method:com.qj.api.auto.util.VariableUtil.loadVariablesToMap(VariableUtil.java:107) ]  变量名:【${toBeRegisterMobilephone}:待注册的手机号】----》》变量值:【18999998784】
2019-04-02 21:01:18  [ INFO ]  [ method:com.qj.api.auto.util.VariableUtil.loadVariablesToMap(VariableUtil.java:107) ]  变量名:【${notValidMobilephone}:不合格的手机号】----》》变量值:【123456】
2019-04-02 21:01:19  [ INFO ]  [ method:com.qj.api.auto.util.VariableUtil.loadVariablesToMap(VariableUtil.java:107) ]  变量名:【${notRegisterYetMobilephone}:还未注册的手机号】----》》变量值:【18999998785】
2019-04-02 21:01:19  [ INFO ]  [ method:com.qj.api.auto.util.VariableUtil.loadVariablesToMap(VariableUtil.java:107) ]  变量名:【${toBeRegisterPassword}:待注册的密码】----》》变量值:【123456】
